timestamp,lat,lon,alt_m,speed_kmh,heading_deg,battery_pct,cpu_temp_c,gps_fix,video_fps,video_bitrate
2026-07-02T03:16:11.735Z,,,,,,,,,30.0,2.02 Mbps
2026-07-02T03:16:12.735Z,,,,,,,,,30.0,2.02 Mbps
2026-07-02T03:16:13.734Z,,,,,,,,,30.0,2.03 Mbps
2026-07-02T03:16:14.734Z,,,,,,,,,30.0,1.81 Mbps
2026-07-02T03:16:15.734Z,,,,,,,,,30.0,1.90 Mbps
2026-07-02T03:16:16.735Z,,,,,,,,,30.0,2.04 Mbps
2026-07-02T03:16:17.736Z,,,,,,,,,30.0,2.05 Mbps
2026-07-02T03:16:18.736Z,,,,,,,,,29.0,2.21 Mbps
2026-07-02T03:16:19.734Z,,,,,,,,,30.0,1.96 Mbps
2026-07-02T03:16:20.735Z,,,,,,,,,30.0,2.09 Mbps
2026-07-02T03:16:21.736Z,,,,,,,,,29.0,1.95 Mbps
2026-07-02T03:16:22.734Z,,,,,,,,,31.0,1.85 Mbps
2026-07-02T03:16:23.734Z,,,,,,,,,30.0,1.87 Mbps
2026-07-02T03:16:24.734Z,,,,,,,,,30.0,2.04 Mbps
2026-07-02T03:16:25.736Z,,,,,,,,,28.0,1.94 Mbps
2026-07-02T03:16:26.737Z,,,,,,,,,31.0,2.19 Mbps
2026-07-02T03:16:27.735Z,,,,,,,,,31.0,2.16 Mbps
2026-07-02T03:16:28.734Z,,,,,,,,,30.0,2.06 Mbps
2026-07-02T03:16:29.735Z,,,,,,,,,30.0,1.95 Mbps
2026-07-02T03:16:30.734Z,,,,,,,,,30.0,1.87 Mbps
2026-07-02T03:16:31.734Z,,,,,,,,,30.0,1.85 Mbps
2026-07-02T03:16:32.734Z,,,,,,,,,30.0,2.05 Mbps
2026-07-02T03:16:33.735Z,,,,,,,,,30.0,2.08 Mbps
2026-07-02T03:16:34.734Z,,,,,,,,,30.0,2.08 Mbps
