t,lat,lon,alt_m,speed_kmh,heading_deg,battery_pct,cpu_temp_c,gps_fix,video_fps,video_bitrate
2026-07-02T02:07:54.767Z,,,,,,,,,30.0,1.87 Mbps
2026-07-02T02:07:55.763Z,,,,,,,,,31.0,1.93 Mbps
2026-07-02T02:07:56.767Z,,,,,,,,,30.0,2.10 Mbps
2026-07-02T02:07:57.764Z,,,,,,,,,30.0,2.09 Mbps
2026-07-02T02:07:58.765Z,,,,,,,,,30.0,2.16 Mbps
2026-07-02T02:07:59.765Z,,,,,,,,,30.0,2.00 Mbps
2026-07-02T02:08:00.764Z,,,,,,,,,30.0,2.01 Mbps
2026-07-02T02:08:01.762Z,,,,,,,,,30.0,1.84 Mbps
2026-07-02T02:08:02.766Z,,,,,,,,,30.0,1.88 Mbps
2026-07-02T02:08:03.768Z,,,,,,,,,30.0,1.93 Mbps
2026-07-02T02:08:04.767Z,,,,,,,,,30.0,2.12 Mbps
2026-07-02T02:08:05.768Z,,,,,,,,,30.0,2.07 Mbps
2026-07-02T02:08:06.767Z,,,,,,,,,30.0,2.14 Mbps
2026-07-02T02:08:07.767Z,,,,,,,,,27.0,1.81 Mbps
2026-07-02T02:08:08.763Z,,,,,,,,,32.0,2.14 Mbps
2026-07-02T02:08:09.766Z,,,,,,,,,31.0,1.87 Mbps
2026-07-02T02:08:10.763Z,,,,,,,,,30.0,1.91 Mbps
2026-07-02T02:08:11.767Z,,,,,,,,,30.0,1.92 Mbps
2026-07-02T02:08:12.767Z,,,,,,,,,30.0,2.14 Mbps
2026-07-02T02:08:13.768Z,,,,,,,,,30.0,2.10 Mbps
2026-07-02T02:08:14.764Z,,,,,,,,,30.0,2.05 Mbps
2026-07-02T02:08:15.767Z,,,,,,,,,30.0,2.11 Mbps
2026-07-02T02:08:16.764Z,,,,,,,,,30.0,2.02 Mbps
2026-07-02T02:08:17.767Z,,,,,,,,,30.0,1.81 Mbps
2026-07-02T02:08:18.764Z,,,,,,,,,30.0,1.89 Mbps
2026-07-02T02:08:19.767Z,,,,,,,,,30.0,2.04 Mbps
2026-07-02T02:08:20.763Z,,,,,,,,,30.0,2.01 Mbps
2026-07-02T02:08:21.766Z,,,,,,,,,30.0,2.10 Mbps
2026-07-02T02:08:22.767Z,,,,,,,,,30.0,2.01 Mbps
2026-07-02T02:08:23.764Z,,,,,,,,,30.0,2.17 Mbps
2026-07-02T02:08:24.764Z,,,,,,,,,30.0,1.97 Mbps
2026-07-02T02:08:25.763Z,,,,,,,,,30.0,1.81 Mbps
2026-07-02T02:08:26.767Z,,,,,,,,,30.0,1.89 Mbps
2026-07-02T02:08:27.767Z,,,,,,,,,30.0,2.04 Mbps
2026-07-02T02:08:28.762Z,,,,,,,,,30.0,2.08 Mbps
2026-07-02T02:08:29.765Z,,,,,,,,,28.0,1.94 Mbps
2026-07-02T02:08:30.767Z,,,,,,,,,31.0,2.08 Mbps
2026-07-02T02:08:31.764Z,,,,,,,,,31.0,2.25 Mbps
2026-07-02T02:08:32.762Z,,,,,,,,,30.0,1.93 Mbps
2026-07-02T02:08:33.761Z,,,,,,,,,30.0,1.84 Mbps
2026-07-02T02:08:34.768Z,,,,,,,,,30.0,1.85 Mbps
